Date,Price,Open,High,Low,Vol.,Change %,change
08/24/2023,"18,207.82","18,133.42","18,237.14","18,133.42",193.82M,0.41%,Positive
08/23/2023,"18,133.42","18,216.63","18,322.06","18,130.61",226.10M,-0.46%,Negative
08/22/2023,"18,216.63","17,920.48","18,256.74","17,920.48",169.65M,1.65%,Positive
08/21/2023,"17,920.48","18,033.22","18,123.52","17,899.69",187.23M,-0.63%,Negative
08/20/2023,"18,033.22","17,969.27","18,101.10","17,969.27",157.45M,0.36%,Positive
08/17/2023,"17,969.27","18,062.50","18,130.45","17,956.88",162.62M,-0.52%,Negative
08/16/2023,"18,062.50","17,965.32","18,166.70","17,936.39",220.48M,0.54%,Positive
08/15/2023,"17,965.32","17,897.50","17,978.74","17,885.44",188.31M,0.38%,Positive
08/14/2023,"17,897.50","17,856.07","18,066.71","17,856.07",288.83M,0.23%,Positive
08/13/2023,"17,856.07","17,710.20","17,856.75","17,710.20",209.00M,0.82%,Positive
08/10/2023,"17,710.20","17,763.63","17,813.07","17,693.52",217.75M,-0.30%,Negative
08/09/2023,"17,763.63","17,748.89","17,910.10","17,746.30",299.07M,0.08%,Positive
08/08/2023,"17,748.89","17,839.48","17,938.14","17,748.89",395.74M,-0.51%,Negative
08/07/2023,"17,839.48","17,697.49","17,865.79","17,697.49",359.64M,0.80%,Positive
08/06/2023,"17,697.49","17,451.44","17,708.06","17,451.44",305.66M,1.41%,Positive
08/03/2023,"17,451.44","17,455.60","17,506.51","17,380.54",294.84M,-0.02%,Negative
08/02/2023,"17,455.60","17,514.11","17,610.40","17,427.89",480.96M,-0.33%,Negative
08/01/2023,"17,514.11","17,595.92","17,663.92","17,499.06",336.68M,-0.46%,Negative
07/31/2023,"17,595.92","17,554.56","17,630.12","17,522.99",121.84M,0.24%,Positive
07/30/2023,"17,554.56","17,339.06","17,617.24","17,334.46",94.80M,1.24%,Positive
07/27/2023,"17,339.06","17,396.24","17,422.11","17,304.99",75.72M,-0.33%,Negative
07/26/2023,"17,396.24","17,479.94","17,549.11","17,396.24",69.04M,-0.48%,Negative
07/25/2023,"17,479.94","17,550.23","17,761.43","17,441.68",108.10M,-0.40%,Negative
07/24/2023,"17,550.23","17,578.67","17,725.14","17,528.75",71.91M,-0.16%,Negative
07/19/2023,"17,578.67","17,608.32","17,624.23","17,530.52",97.97M,-0.17%,Negative
07/18/2023,"17,608.32","17,512.01","17,671.13","17,512.01",139.85M,0.55%,Positive
07/17/2023,"17,512.01","17,343.13","17,667.81","17,324.44",123.57M,0.97%,Positive
07/16/2023,"17,343.13","17,342.29","17,437.24","17,342.29",100.26M,0.00%,Negative
07/13/2023,"17,342.29","17,144.22","17,448.94","17,144.22",137.22M,1.16%,Positive
07/12/2023,"17,144.22","17,155.23","17,205.71","17,063.10",134.50M,-0.06%,Negative
